loaded_at,date,sku,currency,gmv,order_count,position,query,view_conversion,unique_search_users,unique_view_users
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,165,туалетная бумага,0.95,12049,105
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,4,туалетная бумага 24 рулона,0,2497,1
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,74,влажная туалетная бумага,3.77,2186,106
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,190,бумага туалетная,0,2018,23
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,30,туалетная бумага 12 рулонов,0,1168,3
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,46,влажная туалетная бумага смываемая,3.53,610,85
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,29,zewa natural comfort smart,0,601,34
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,62,туалетная бумага влажная,6.67,393,15
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,58,влажная туалетная бумага детская,0,193,17
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,52,туалетная бумага влажная смываемая,5.88,80,17
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,39,влажная туалетная бумага в роддом,0,69,8
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,12,zewa comfort smart,0,35,3
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,39,влажная туалетная бумага смываемая с клапаном,33.33,29,3
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,40,влажные туалетная бумага,0,28,2
2026-01-09 20:10:16,2025-12-01,1688150471,RUB,0,0,100,влажная туалетная бумага биоразлагаемая,0,26,3
2026-01-09 20:10:16,2025-12-01,1199597025,RUB,0,0,0,мешки для мусора 35л,0,256,1
2026-01-09 20:10:16,2025-12-01,1199597025,RUB,0,0,93,мешки для мусора 35л прочные,0,30,1
2026-01-09 20:10:16,2025-12-01,1199597025,RUB,0,0,387,мешки для мусора с ручками 35л,0,13,1
